date,code,name,open,high,low,close,volume,amount,return_1d,momentum,trend,volatility,volume_ratio,rsi,bollinger_position,atr,atr_pct,score_momentum,score_trend,score_low_volatility,score_volume_ratio,score_rsi,score_bollinger,score_low_atr,factor_score
2026-09-17,000001,平安银行,2286.18,2295.21,2269.62,2275.64,691925.0,806153100.0,-0.005919124231715256,0.08544199646078465,0.04524768254719436,0.11447037681656637,0.746567427174407,48.437824372015776,0.2789940426177375,27.74357142857148,0.012191546742266563,0.771255060728745,0.6174089068825911,0.9878542510121457,0.20040485829959515,0.6376518218623481,0.22469635627530365,0.9858299595141701,0.7105263157894738
2026-09-17,000021,深科技,433.51,440.18,429.89,430.23,708582.0,2543733300.0,-0.017806999520580624,-0.31737695554215717,-0.06503277336521629,0.43309856960710463,1.0758616354559922,43.20764275892017,0.41555247914813037,17.62357142857143,0.04096313931750791,0.1720647773279352,0.2975708502024291,0.6923076923076923,0.5465587044534413,0.45546558704453444,0.3299595141700405,0.6963562753036437,0.4598178137651822
2026-09-17,000063,中兴通讯,508.59,510.56,504.38,505.22,511283.0,1633734600.0,-0.01370451350929247,-0.14621286375773135,-0.0893902938531621,0.1572484074186734,0.876739422339319,29.635734300313175,0.08173126409164956,9.085714285714273,0.017983678963054257,0.5161943319838057,0.23684210526315788,0.9615384615384616,0.3562753036437247,0.12348178137651822,0.06882591093117409,0.951417004048583,0.5230769230769231
2026-09-17,000070,特发信息,58.18,61.53,57.95,60.63,1210891.0,2144367600.0,0.04264832330180579,-0.27057266602502406,0.01943563653075775,0.5890466456167175,1.5961209320049934,66.47426647426647,1.0711704398611577,3.015714285714286,0.04973963855705568,0.2935222672064777,0.5526315789473685,0.3927125506072875,0.8299595141700404,0.4676113360323887,0.9433198380566802,0.4919028340080972,0.5114372469635627
2026-09-17,000100,TCL科技,16.1,16.57,16.1,16.38,5856665.0,2841533500.0,0.011735639283508181,-0.07874015748031504,0.02093710557889983,0.1639794296549041,1.6779112296943615,41.58878504672899,0.46182598101904476,0.3000000000000003,0.018315018315018337,0.5850202429149798,0.5566801619433198,0.9574898785425101,0.8522267206477733,0.4048582995951417,0.3765182186234818,0.9453441295546559,0.7047570850202429
2026-09-17,000333,美的集团,407.62,407.73,403.53,406.83,180134.0,1527387400.0,0.0003688403658896888,0.1274213662186503,0.05016391467832282,0.13516639121174734,0.8807005552597625,43.79683597002494,0.15123881675871317,6.078571428571438,0.01494130577531509,0.8137651821862348,0.6295546558704453,0.9757085020242915,0.3643724696356275,0.48380566801619435,0.10931174089068826,0.9696356275303644,0.710323886639676
2026-09-17,000338,潍柴动力,485.28,491.12,478.83,483.13,1315990.0,3524320400.0,0.0372493451844218,-0.05826283575689051,-0.0578548336300172,0.4275143606518701,1.4155267251540367,44.737388416026576,0.4265951084360893,17.54071428571429,0.03630640673465587,0.6072874493927125,0.31376518218623484,0.7024291497975709,0.7631578947368421,0.5222672064777328,0.34615384615384615,0.7854251012145749,0.5736842105263158
2026-09-17,000408,藏格矿业,530.27,535.0,516.89,524.81,90804.0,642922700.0,-0.01684151367553388,0.023979552017482142,-0.08106014012340146,0.35317351373120354,0.8000919889031778,33.860324443222396,0.05465345356687184,16.73785714285712,0.03189317494494602,0.7024291497975709,0.25303643724696356,0.811740890688259,0.2692307692307692,0.1882591093117409,0.05263157894736842,0.854251012145749,0.5074898785425102
2026-09-17,000425,徐工机械,319.38,324.78,316.5,319.74,1080449.0,818798300.0,-0.004483467214645986,-0.05337951860733625,-0.1371717237136103,0.2686687066911851,0.8829446191485201,40.19673002791441,-0.04322945817684162,10.285000000000009,0.03216676049290051,0.611336032388664,0.13562753036437247,0.9008097165991903,0.3684210526315789,0.3603238866396761,0.008097165991902834,0.8481781376518218,0.5062753036437248
2026-09-17,000426,兴业银锡,801.84,811.96,766.53,775.53,689980.0,2407403800.0,-0.05274150798206945,-0.016823022312373204,-0.10441427003781112,0.5691371769387438,1.007468551651161,25.317487692452417,0.0372457126744637,42.40999999999998,0.05468518303611721,0.6578947368421053,0.20040485829959515,0.417004048582996,0.48582995951417,0.06477732793522267,0.04048582995951417,0.3724696356275303,0.3451417004048583
2026-09-17,000506,招金黄金,60.65,61.87,58.06,59.0,671296.0,1253525000.0,-0.05675459632294155,0.4880201765447667,0.16254439589562697,0.7297329536145377,0.8282043699298706,28.441617446615183,0.13462686176429123,3.5007142857142854,0.05933414043583535,0.9676113360323887,0.8218623481781376,0.16801619433198378,0.29959514170040485,0.09919028340080972,0.10121457489878542,0.2773279352226721,0.47074898785425107
2026-09-17,000510,新金路,248.54,260.15,245.56,247.69,348826.0,629576800.0,-0.010190217391304435,-0.31874690577039444,0.045994801487340586,0.5919071184206626,0.8336507884916968,50.63166206079747,0.7972112428133019,15.180714285714286,0.06128916906501791,0.1700404858299595,0.6194331983805668,0.3825910931174089,0.3076923076923077,0.7388663967611336,0.7186234817813765,0.2327935222672065,0.43238866396761133
2026-09-17,000519,中兵红箭,121.88,122.75,119.04,119.91,468705.0,713370800.0,-0.018096953815918804,-0.2988949307139098,-0.10841893875507536,0.3891561421781617,0.7180915545474498,57.34265734265735,0.49549975181934,6.2014285714285675,0.051717359448157516,0.22874493927125505,0.19230769230769232,0.7591093117408907,0.1680161943319838,0.8663967611336032,0.4089068825910931,0.4392712550607287,0.42398785425101215
2026-09-17,000523,红棉股份,22.48,23.97,22.21,23.56,2360610.0,785393400.0,0.02927042376583655,0.26530612244897944,0.07636430088859414,0.9895168154387468,1.4232784077774847,46.997929606625256,0.3974573524322146,1.994285714285714,0.08464710162503031,0.9008097165991903,0.7105263157894737,0.030364372469635637,0.7672064777327935,0.5890688259109311,0.31376518218623484,0.02429149797570851,0.4737854251012146
2026-09-17,000572,海马汽车,18.81,20.8,18.12,20.44,2109367.0,881286700.0,0.07635597682991069,0.1280353200883002,-0.017901830222902038,0.5334383557303417,3.13253547027453,62.48366013071895,1.0899453116566638,1.0371428571428563,0.0507408442829186,0.8178137651821862,0.4534412955465587,0.4858299595141701,0.9858299595141701,0.6072874493927125,0.9574898785425101,0.46356275303643724,0.609919028340081
2026-09-17,000582,北部湾港,56.56,56.56,53.23,53.33,963876.0,966799200.0,-0.06912201082213298,-0.08320440089393166,-0.13940262740662945,0.5101281767156358,1.7301526499691442,35.72080291970801,-0.09503982284780421,3.1335714285714285,0.05875813666925611,0.5769230769230769,0.12955465587044535,0.5404858299595141,0.8643724696356275,0.23279352226720648,0.0020242914979757085,0.291497975708502,0.38056680161943324
2026-09-17,000603,盛达资源,139.59,145.75,132.52,133.78,520619.0,1748247700.0,-0.06480251660258662,0.3814539446509706,0.02408973734958675,0.7212379305759472,0.9216386157797679,29.57641350998324,0.08689194919213901,7.8292857142857155,0.058523588834547134,0.9493927125506073,0.5708502024291497,0.17813765182186236,0.4109311740890688,0.1214574898785425,0.07489878542510121,0.3016194331983806,0.42297570850202426
2026-09-17,000612,焦作万方,119.67,120.84,116.15,117.95,569115.0,648209700.0,-0.009905145639217627,-0.00455734661152829,-0.01183921896620821,0.3534870949629239,1.4100194216322646,48.39941262848752,0.7061616628574466,4.091428571428572,0.03468782171622358,0.6720647773279352,0.47368421052631576,0.8097165991902834,0.7591093117408907,0.6356275303643725,0.6093117408906883,0.8218623481781376,0.6743927125506072
2026-09-17,000620,盈新发展,10.68,10.92,10.65,10.8,2177299.0,686011000.0,-0.0027700831024930483,0.011235955056179803,0.035416683311096264,0.5367509453830891,0.6326321843178333,39.10256410256411,0.39698988203213326,0.42857142857142855,0.03968253968253968,0.6882591093117408,0.5931174089068826,0.4757085020242915,0.07489878542510121,0.32793522267206476,0.3097165991902834,0.7267206477732793,0.5114372469635627
2026-09-17,000630,铜陵有色,206.79,208.03,204.92,206.16,1540428.0,926093000.0,-0.010511159107271406,-0.09076475258004768,-0.05493221765377998,0.3221696118467419,0.592187556583369,21.539600296077012,0.06875882325981998,6.322857142857147,0.030669660180719576,0.5668016194331984,0.3259109311740891,0.8502024291497976,0.044534412955465584,0.04251012145748988,0.06275303643724696,0.8663967611336032,0.4783400809716599
