date,rank,code,name,close,factor_score,momentum,trend,volatility,volume_ratio,rsi,bollinger_position,atr,atr_pct,target_weight
2026-09-15,1,600163,中闽能源,14.16,0.7834685598377282,0.23776223776223793,0.08245846498827847,0.4258772785648897,5.93380951069177,83.94160583941606,1.2947225683131423,0.5128571428571432,0.036218724778046836,0.05
2026-09-15,2,002142,宁波银行,69.41,0.777789046653144,0.07147267675208391,0.10273353254170736,0.19418985290670784,0.947875111856744,62.73209549071618,0.7659582596382147,1.1557142857142861,0.016650544384300334,0.05
2026-09-15,3,002912,中新赛克,78.99,0.7769776876267748,0.4002836376528984,0.28946247910139733,0.6361709758984839,7.872203086889012,92.30496453900706,1.2780372807211056,2.664285714285714,0.03372940516882788,0.05
2026-09-15,4,600919,江苏银行,19.03,0.7758620689655173,0.04503020318506312,0.07598724043857463,0.15747217029087826,1.0021859131049464,56.2189054726368,0.6770773825697248,0.27642857142857225,0.014525936491254452,0.05
2026-09-15,5,000333,美的集团,415.05,0.773022312373225,0.034109029300378735,0.0738391052418812,0.11876100297858666,0.9349070003285402,55.5282555282556,0.7382453543200502,5.730714285714291,0.013807286557557622,0.05
2026-09-15,6,605058,澳弘电子,42.4,0.7665314401622717,0.41192141192141185,0.22810151147241808,0.6231492296817739,4.513689313005662,90.626902008521,1.2707789822776416,1.7157142857142866,0.04046495956873317,0.05
2026-09-15,7,002011,盾安环境,73.01,0.7659229208924949,0.25231560891938276,0.14421538602184936,0.41594930155899107,1.4864104148965716,86.65328650275967,0.8589462497678259,2.9378571428571436,0.040239106188976075,0.05
2026-09-15,8,000001,平安银行,2307.26,0.7633874239350913,0.0528991393393996,0.06108589082655058,0.1192361070174471,0.7744300704671471,53.54396610346818,0.666895951367107,27.528571428571436,0.011931282746015374,0.05
2026-09-15,9,300497,富祥股份,123.87,0.7627789046653144,0.13226691042047523,0.15009656094481172,0.40263322210626734,1.6673501335930334,91.30897481376378,0.9962515749146572,4.697857142857139,0.03792570552076483,0.05
2026-09-15,10,603439,三力制药,15.08,0.7566937119675456,0.10395314787701326,0.12976432027469964,0.5972874521096062,4.304289607444303,64.17391304347828,1.1828429566453353,0.7207142857142858,0.04779272451686245,0.05
2026-09-15,11,601939,建设银行,17.25,0.7533468559837728,0.03169856459330145,0.06309221169401424,0.13254593075755045,0.975141762561481,56.994818652849744,0.6349209461317663,0.25571428571428584,0.014824016563147005,0.05
2026-09-15,12,603888,新华网,67.98,0.7526369168356998,0.06434945984030072,0.02381830914855021,0.30852024595579813,2.6042954500456887,64.60746460746464,0.9089021257230224,2.2535714285714286,0.033150506451477324,0.05
2026-09-15,13,600150,中国船舶,124.79,0.7456389452332658,0.12748464040477048,0.07301162379100967,0.3783863177903283,1.0590876808964145,67.21080776808333,0.7049724184794088,4.155714285714284,0.03330166107632249,0.05
2026-09-15,14,300677,英科医疗,307.21,0.7454361054766735,0.08547099144936743,0.07556421227930832,0.4822739416124889,1.327215736247215,54.376711634039964,0.5316473621327242,14.460714285714289,0.04707110538626441,0.05
2026-09-15,15,002815,崇达技术,48.19,0.7450304259634889,0.4286984879928848,0.3603003443798338,0.6301194927125798,1.5912908006876458,95.35673839184598,1.0466780618032288,2.2714285714285714,0.04713485311119675,0.05
2026-09-15,16,600926,杭州银行,41.72,0.7441176470588236,0.04039900249376549,0.0567911241704242,0.152006357983931,0.9922853870309722,61.71079429735229,0.7443521416643726,0.629285714285715,0.01508355019860295,0.05
2026-09-15,17,603328,依顿电子,35.51,0.743103448275862,0.0829521195486429,0.0785882067066257,0.43178698776034447,2.0828523022960486,72.27722772277227,0.9869536804570915,1.2442857142857149,0.03504043126684638,0.05
2026-09-15,18,600036,招商银行,221.2,0.7372210953346856,0.05188073612630184,0.055099368705237683,0.1334339966115406,0.764436240826887,61.44086995922058,0.6765134389527695,2.70357142857143,0.0122222939808835,0.05
2026-09-15,19,603268,松发股份,274.54,0.7363083164300204,0.05852868599629857,0.2739571720415266,0.4202095588374126,0.681106101361791,60.156385751520396,0.7313743045987495,9.942142857142867,0.0362138226019628,0.05
2026-09-15,20,600088,中视传媒,47.49,0.7362068965517241,0.22935542324618163,0.09057506458712083,0.5888637817472663,4.368841426799264,72.21942627075997,1.0445400540820076,2.4221428571428576,0.05100321872273863,0.05
